timesteps,mean_return,std_return
12500,294.6872,130.70054278440296
37500,378.3714,128.91517184761958
62500,430.50520000000006,90.85727292259291
87500,417.4903999999999,109.18513936319432
112500,410.07473333333326,124.37524347983857
137500,386.5178666666666,136.14713859322853
162500,414.24533333333335,117.68331270925891
187500,432.2177333333333,92.5009907059843
212500,435.1539333333333,94.36024901333853
237500,419.34026666666665,107.74620511126217
262500,446.7308666666666,85.26256433481112
287500,451.9354666666667,76.30969251503802
312500,448.9764666666667,84.31297200272678
337500,451.36120000000005,80.62187737851602
362500,424.03726666666677,108.29050469374826
387500,389.13339999999994,132.9270970119968
412500,408.81340000000006,125.12749154296237
437500,405.2704666666668,126.65321738739617
462500,442.21586666666667,88.24674264016386
487500,430.2390000000001,98.68603229875427
512500,434.13913333333335,92.09041286655693
537500,401.4925999999999,130.0847868678188
562500,379.8325333333333,140.47294687652197
587500,377.7794666666667,146.84880854913655
612500,378.69533333333334,145.2096906167411
637500,415.22853333333325,117.84670096986173
662500,387.7385333333334,139.3599595231184
687500,402.0918,120.32546736105445
712500,393.4128666666667,129.57406675603553
737500,416.77653333333336,115.55554150789197
762500,417.0114,110.94354750973721
787500,416.71139999999997,118.87795371954176
812500,385.06806666666665,144.61047486909007
837500,400.75620000000004,131.5845726364053
862500,367.4564,155.56085065080984
887500,404.1382000000001,129.19215037570004
912500,414.8570666666668,117.20576388515279
937500,388.76933333333346,132.63586886898548
962500,422.3761999999999,106.15310040349861
987500,377.84466666666674,143.8302921696221
