capacity,batch_size,avg_return,variance
500,4,89.17999999999999,750.6724888888891
500,8,120.24000000000001,665.6972888888888
500,16,115.64333333333335,127.74534444444446
500,32,95.93333333333332,1398.1851111111114
1000,4,118.80999999999999,182.63290000000012
1000,8,118.75999999999999,420.75862222222213
1000,16,115.39333333333332,110.00240000000004
1000,32,128.5066666666667,343.5830666666667
2000,4,107.47666666666666,844.5995666666665
2000,8,122.80333333333333,130.49343333333337
2000,16,120.27000000000001,131.22721111111107
2000,32,17.14,183.79462222222222
5000,4,17.660000000000004,169.96328888888888
5000,8,115.07333333333334,127.41995555555562
5000,16,129.07666666666668,397.24090000000007
5000,32,94.28333333333333,231.68094444444446
